signature	source	doi	k	or_pooled	ci_lower	ci_upper	prediction_interval_lower	prediction_interval_upper	I2_percent	tau2	median_auc
B cells	He et al. 2023	10.1186/s12967-023-04300-6	5	1.3861583971794629	1.1314893714817924	1.6981468412335472	1.1314893714817924	1.6981468412335472	0.0	0.0	0.5629968203497615
CD14+Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	5	1.833766048874214	1.2855258233251812	2.6158151481591303	0.9480520955674535	3.5469547904865024	52.2990211420089	0.08045020045182724	0.6925403225806452
CD16+Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	5	1.4452641857687745	1.1736819668031895	1.7796887280761469	1.1384545814116263	1.8347579260262508	5.646986959327309	0.003544045190434741	0.5551470588235293
CD4 T-cell signature	He et al. 2023	10.1186/s12967-023-04300-6	5	1.8501806665009657	1.4582437414616893	2.347459756804922	1.4582437414616893	2.347459756804922	0.0	0.0	0.6318561208267091
CD8 T-cell signature	He et al. 2023	10.1186/s12967-023-04300-6	6	1.5489214522822097	1.274213785150046	1.8828533275187531	1.274213785150046	1.8828533275187531	0.0	0.0	0.6224409039599141
Cholangiocytes	He et al. 2023	10.1186/s12967-023-04300-6	6	3.0826738148748776	1.6982159244352857	5.595800694234605	0.7754943686672021	12.253961128366782	81.69214525928231	0.4032345985036009	0.7399041784751503
Endothelial cells	He et al. 2023	10.1186/s12967-023-04300-6	6	1.6581246587305636	1.329929053295778	2.0673113179059808	1.1827825805215313	2.3244993874343742	22.5549843860583	0.01704321039939162	0.6065310737566836
Fibrosis signature	He et al. 2023	10.1186/s12967-023-04300-6	5	9.905916539749056	4.403947604633764	22.28164167739553	2.474425637780625	39.65654938027828	44.501234438420084	0.32980796889746405	0.8548290937996821
HSC TGF-beta signature	He et al. 2023	10.1186/s12967-023-04300-6	5	2.602600128992999	1.5375492038831273	4.405405312771537	0.9210344962640431	7.354260300683173	67.77609220195968	0.20877407934518144	0.746195652173913
Hepatocytes	He et al. 2023	10.1186/s12967-023-04300-6	6	0.7099414347682079	0.5443437537884208	0.9259164586586701	0.42518607781565615	1.1854029731878082	49.070798829161866	0.050049866348217016	0.3895486384299327
Kupffer cells	He et al. 2023	10.1186/s12967-023-04300-6	6	0.9081694666915946	0.648582448044982	1.271652945152925	0.4412252678831853	1.8692759464747029	67.32701704173006	0.10614754465794335	0.42319317657315764
Liver aging signature	He et al. 2023	10.1186/s12967-023-04300-6	6	1.7371969360542105	1.3045094043280825	2.3134008728672613	1.0072978870330223	2.995988806772115	46.52747483964515	0.05595985902736627	0.6393896087398374
Macrophages	He et al. 2023	10.1186/s12967-023-04300-6	5	1.5189716786226544	1.209110206764749	1.9082420672234393	1.1324328869039477	2.037449624732972	12.081315378347558	0.008899257155919663	0.5695564516129032
Macrophages C0	He et al. 2023	10.1186/s12967-023-04300-6	5	1.4459646803384083	1.0896602557696284	1.9187759172783727	0.8951577504531432	2.3356931845004434	39.09454906856332	0.03902344513984577	0.5555555555555556
Macrophages C1	He et al. 2023	10.1186/s12967-023-04300-6	5	1.5670750779237368	1.2771457516534528	1.9228222751165167	1.2771457516534528	1.9228222751165167	0.0	0.0	0.601010101010101
Macrophages C2	He et al. 2023	10.1186/s12967-023-04300-6	5	1.8044510477650466	1.4443135398149298	2.2543883263723985	1.4443135398149298	2.2543883263723985	0.0	0.0	0.6175476947535772
Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	5	1.3255405906414575	0.9359248523630398	1.8773492903857112	0.6833723069565314	2.571157536750855	57.21014628817672	0.08273156131963068	0.5125
NAFL signature	He et al. 2023	10.1186/s12967-023-04300-6	5	0.9158553342040456	0.6495688675842805	1.2913041788924289	0.48404047323554084	1.732894333366699	53.952535280349714	0.07513070147791888	0.4968203497615262
NASH signature	He et al. 2023	10.1186/s12967-023-04300-6	6	6.241939572485653	3.5628723807207194	10.935505250592485	2.282810440522058	17.067474782379286	42.023978033651346	0.18153649268101404	0.8238957627704431
NK cells	He et al. 2023	10.1186/s12967-023-04300-6	6	1.3195331629667921	1.082529744415694	1.608424874375123	0.9942751581880858	1.7511930714855217	17.217900860946802	0.010647879291107607	0.5297435124878198
Profibrotic Macrophages	He et al. 2023	10.1186/s12967-023-04300-6	5	1.4853037101895081	1.106117347249109	1.994478358909487	0.8936740846261236	2.468603654793985	41.38789107850942	0.04456803099421297	0.5758147853736089
