primary_discovery	alternate_discovery	alternate_component	primary_endotype	topk	overlap_size	jaccard	hypergeom_pvalue	overlap_genes	score_pearson_r	score_pearson_pvalue	alternate_component_or	alternate_component_ci_lower	alternate_component_ci_upper	alternate_component_pvalue	alternate_component_n	alternate_component_events	hypergeom_fdr
GSE163211	GSE135251	gse135251_component_1	endotype_1	60	1	0.014705882352941176	0.10303710221736702	COL1A1	0.5052630133264928	2.1360511438181683e-15	5.901032019132803	3.5911209297011593	9.696743599700595	2.4653848925364113e-12	216	68	0.4636669599781516
GSE163211	GSE135251	gse135251_component_3	endotype_1	60	1	0.014705882352941176	0.10303710221736702	LAMA5	0.7261086529388032	1.1497639903987238e-36	1.1961225457367317	0.8991048285993741	1.5912595493992385	0.21880904566002612	216	68	0.4636669599781516
GSE163211	GSE135251	gse135251_component_2	endotype_1	60	0	0.0	1.0		-0.5731072642778079	2.959517559555041e-20	0.9303619417875844	0.7006858580213822	1.2353229807877049	0.6177734278476552	216	68	1.0
GSE163211	GSE135251	gse135251_component_1	endotype_2	60	0	0.0	1.0		0.0308923494685783	0.6516319089763496	5.901032019132803	3.5911209297011593	9.696743599700595	2.4653848925364113e-12	216	68	1.0
GSE163211	GSE135251	gse135251_component_2	endotype_2	60	0	0.0	1.0		0.43506229707823535	2.1811202639402192e-11	0.9303619417875844	0.7006858580213822	1.2353229807877049	0.6177734278476552	216	68	1.0
GSE163211	GSE135251	gse135251_component_3	endotype_2	60	0	0.0	1.0		-0.19019260842460853	0.005036717636859726	1.1961225457367317	0.8991048285993741	1.5912595493992385	0.21880904566002612	216	68	1.0
GSE163211	GSE135251	gse135251_component_1	endotype_3	60	0	0.0	1.0		-0.07966009250003574	0.24368731889744083	5.901032019132803	3.5911209297011593	9.696743599700595	2.4653848925364113e-12	216	68	1.0
GSE163211	GSE135251	gse135251_component_2	endotype_3	60	0	0.0	1.0		-0.17397931774999695	0.010416336579981372	0.9303619417875844	0.7006858580213822	1.2353229807877049	0.6177734278476552	216	68	1.0
GSE163211	GSE135251	gse135251_component_3	endotype_3	60	0	0.0	1.0		0.45321015996026215	2.4456483388076304e-12	1.1961225457367317	0.8991048285993741	1.5912595493992385	0.21880904566002612	216	68	1.0
